p":-1.07,"r":8.69},"acceleration":{"x":-1201,"y":932,"z":5457}}
0.2:{"time":39378,"ypr":{"y":142.68,"p":-1.03,"r":8.63},"acceleration":{"x":-1189,"y":971,"z":5353}}
0.2:{"time":39394,"ypr":{"y":142.73,"p":-0.99,"r":8.57},"acceleration":{"x":-1168,"y":1025,"z":5250}}
0.2:{"time":39409,"ypr":{"y":142.78,"p":-0.95,"r":8.52},"acceleration":{"x":-1150,"y":1067,"z":5166}}
0.2:{"time":39424,"ypr":{"y":142.84,"p":-0.88,"r":8.50},"acceleration":{"x":-1136,"y":1090,"z":5108}}
0.2:{"time":39439,"ypr":{"y":142.91,"p":-0.80,"r":8.50},"acceleration":{"x":-1130,"y":1090,"z":5090}}
0.2:{"time":39454,"ypr":{"y":142.99,"p":-0.70,"r":8.50},"acceleration":{"x":-1133,"y":1069,"z":5103}}
0.2:{"time":39469,"ypr":{"y":143.08,"p":-0.61,"r":8.49},"acceleration":{"x":-1167,"y":1025,"z":5089}}
0.2:{"time":39484,"ypr":{"y":143.14,"p":-0.53,"r":8.44},"acceleration":{"x":-1196,"y":974,"z":5079}}
0.2:{"time":39499,"ypr":{"y":143.19,"p":-0.50,"r":8.37},"acceleration":{"x":-1235,"y":927,"z":5033}}
0.2:{"time":39514,"ypr":{"y":143.22,"p":-0.52,"r":8.28},"acceleration":{"x":-1254,"y":939,"z":5023}}
0.2:{"time":39529,"ypr":{"y":143.23,"p":-0.56,"r":8.18},"acceleration":{"x":-1248,"y":931,"z":5023}}
0.2:{"time":39544,"ypr":{"y":143.22,"p":-0.63,"r":8.07},"acceleration":{"x":-1225,"y":954,"z":5037}}
0.2:{"time":39559,"ypr":{"y":143.21,"p":-0.70,"r":7.97},"acceleration":{"x":-1186,"y":981,"z":5043}}
0.2:{"time":39574,"ypr":{"y":143.21,"p":-0.78,"r":7.87},"acceleration":{"x":-1151,"y":1022,"z":5032}}
0.2:{"time":39589,"ypr":{"y":143.20,"p":-0.84,"r":7.78},"acceleration":{"x":-1125,"y":1048,"z":5041}}
0.2:{"time":39604,"ypr":{"y":143.20,"p":-0.90,"r":7.71},"acceleration":{"x":-1108,"y":1070,"z":5044}}
0.2:{"time":39619,"ypr":{"y":143.21,"p":-0.95,"r":7.65},"acceleration":{"x":-1084,"y":1090,"z":5071}}
0.2:{"time":39633,"ypr":{"y":143.23,"p":-0.99,"r":7.59},"acceleration":{"x":-1086,"y":1077,"z":5084}}
0.2:{"time":39649,"ypr":{"y":143.26,"p":-1.04,"r":7.53},"acceleration":{"x":-1115,"y":1056,"z":5074}}
