5.69,"p":-0.69,"r":15.96},"acceleration":{"x":-2148,"y":-553,"z":5141}}
0.2:{"time":62142,"ypr":{"y":105.77,"p":-0.72,"r":16.08},"acceleration":{"x":-2084,"y":-526,"z":5126}}
0.2:{"time":62156,"ypr":{"y":105.88,"p":-0.78,"r":16.19},"acceleration":{"x":-1992,"y":-454,"z":5095}}
0.2:{"time":62172,"ypr":{"y":106.02,"p":-0.84,"r":16.28},"acceleration":{"x":-1932,"y":-388,"z":5108}}
0.2:{"time":62187,"ypr":{"y":106.19,"p":-0.90,"r":16.33},"acceleration":{"x":-1909,"y":-282,"z":5164}}
0.2:{"time":62201,"ypr":{"y":106.38,"p":-0.91,"r":16.34},"acceleration":{"x":-1970,"y":-160,"z":5189}}
0.2:{"time":62217,"ypr":{"y":106.58,"p":-0.85,"r":16.33},"acceleration":{"x":-2012,"y":-111,"z":5142}}
0.2:{"time":62232,"ypr":{"y":106.77,"p":-0.74,"r":16.35},"acceleration":{"x":-2018,"y":-156,"z":5111}}
0.2:{"time":62246,"ypr":{"y":106.95,"p":-0.64,"r":16.39},"acceleration":{"x":-2014,"y":-237,"z":5154}}
0.2:{"time":62262,"ypr":{"y":107.11,"p":-0.55,"r":16.44},"acceleration":{"x":-1981,"y":-295,"z":5175}}
0.2:{"time":62277,"ypr":{"y":107.26,"p":-0.48,"r":16.47},"acceleration":{"x":-1944,"y":-314,"z":5188}}
0.2:{"time":62291,"ypr":{"y":107.40,"p":-0.45,"r":16.49},"acceleration":{"x":-1909,"y":-304,"z":5167}}
0.2:{"time":62307,"ypr":{"y":107.52,"p":-0.44,"r":16.49},"acceleration":{"x":-1873,"y":-287,"z":5106}}
0.2:{"time":62322,"ypr":{"y":107.65,"p":-0.42,"r":16.50},"acceleration":{"x":-1916,"y":-302,"z":5035}}
0.2:{"time":62337,"ypr":{"y":107.76,"p":-0.42,"r":16.54},"acceleration":{"x":-1908,"y":-336,"z":5067}}
0.2:{"time":62352,"ypr":{"y":107.85,"p":-0.43,"r":16.52},"acceleration":{"x":-1921,"y":-313,"z":5153}}
0.2:{"time":62367,"ypr":{"y":107.89,"p":-0.44,"r":16.49},"acceleration":{"x":-1930,"y":-261,"z":5185}}
0.2:{"time":62382,"ypr":{"y":107.90,"p":-0.45,"r":16.47},"acceleration":{"x":-1918,"y":-245,"z":5186}}
0.2:{"time":62397,"ypr":{"y":107.86,"p":-0.42,"r":16.46},"acceleration":{"x":-1878,"y":-257,"z":5137}}
0.2:{"time":62411,"ypr":{"y":107.78,"p":-0.37,"r":16.46},"acceleration":{"x":-1836,"y":-289,"z":5112}}
0.2:{"time":62427,"ypr":{"y":107.68,"p":-0.33,"r":16.47},"acceleration":{"x":-1815,"y":-326,"z":5104}}
0.2:{"time":62442,"ypr":{"y":107.55,"p":-0.33,"r":16.47},"acceleration":{"x":-1817,"y":-379,"z":5066}}
0.2:{"time":62456,"ypr":{"y":107.40,"p":-0.37,"r":16.46},"acceleration":{"x":-1839,"y":-400,"z":5041}}
0.2:{"time":62472,"ypr":{"y":107.24,"p":-0.48,"r":16.45},"acceleration":{"x":-1841,"y":-375,"z":5027}}
0.2:{"time":62487,"ypr":{"y":107.09,"p":-0.62,"r":16.45},"acceleration":{"x":-1832,"y":-323,"z":5005}}
0.2:{"time":62501,"ypr":{"y":106.97,"p":-0.73,"r":16.44},"acceleration":{"x":-1842,"y":-292,"z":5106}}
0.2:{"time":62517,"ypr":{"y":106.86,"p":-0.82,"r":16.40},"acceleration":{"x":-1817,"y":-190,"z":5207}}
0.2:{"time":62532,"ypr":{"y":106.75,"p":-0.86,"r":16.32},"acceleration":{"x":-1824,"y":-61,"z":5277}}
0.2:{"time":62546,"ypr":{"y":106.62,"p":-0.83,"r":16.24},"acceleration":{"x":-1859,"y":-43,"z":5270}}
0.2:{"time":62562,"ypr":{"y":106.51,"p":-0.74,"r":16.18},"acceleration":{"x":-1875,"y":-94,"z":5207}}
0.2:{"time":62577,"ypr":{"y":106.38,"p":-0.63,"r":16.15},"acceleration":{"x":-1865,"y":-171,"z":5155}}
0.2:{"time":62592,"ypr":{"y":106.25,"p":-0.53,"r":16.13},"acceleration":{"x":-1842,"y":-231,"z":5127}}
0.2:{"time":62607,"ypr":{"y":106.10,"p":-0.47,"r":16.12},"acceleration":{"x":-1821,"y":-264,"z":5086}}
0.2:{"time":62622,"ypr":{"y":105.96,"p":-0.40,"r":16.10},"acceleration":{"x":-1831,"y":-294,"z":5042}}
0.2:{"time":62637,"ypr":{"y":105.83,"p":-0.36,"r":16.09},"acceleration":{"x":-1831,"y":-302,"z":5008}}
0.2:{"time":62652,"ypr":{"y":105.70,"p":-0.34,"r":16.07},"acceleration":{"x":-1876,"y":-276,"z":4948}}
0.2:{"time":62667,"ypr":{"y":105.57,"p":-0.31,"r":16.08},"acceleration":{"x":-1889,"y":-290,"z":5024}}
0.2:{"time":62682,"ypr":{"y":105.44,"p":-0.28,"r":16.05},"acceleration":{"x":-1952,"y":-279,"z":5145}}
0.2:{"time":62697,"ypr":{"y":105.29,"p":-0.24,"r":16.00},"acceleration":{"x":-1998,"y":-236,"z":5221}}
0.2:{"time":62712,"ypr":{"y":105.13,"p":-0.20,"r":15.97},"acceleration":{"x":-1996,"y":-253,"z":5237}}
0.2:{"time":62727,"ypr":{"y":104.94,"p":-0.13,"r":15.96},"acceleration":{"x":-1936,"y":-334,"z":5194}}
0.2:{"time":62742,"ypr":{"y":104.74,"p":-0.11,"r":15.96},"acceleration":{"x":-1874,"y":-394,"z":5131}}
0.2:{"time":62757,"ypr":{"y":104.53,"p":-0.11,"r":15.95},"acceleration":{"x":-1806,"y":-447,"z":5105}}
0.2:{"time":62772,"ypr":{"y":104.30,"p":-0.15,"r":15.91},"acceleration":{"x":-1780,"y":-445,"z":5107}}
